Service Point,Coordinates
Al Bada Camp 10,"28.410923237417848, 34.994035713518585"
Disposal,"28.3902362, 34.7740393"
Z2-BDB-2710,"28.463779, 35.023317"
Z2-BDB-3219,"28.459215, 35.034533"
Z2-BDB-3329,"28.464104, 35.031118"
Z2-BDB-3214,"28.4647, 35.0257"
Z2-BDB-1584,"28.467098, 35.030908"
Z2-BDB-0077,"28.4631766, 35.0212833"
Z2-BDB-5996,"28.46123161699465, 35.02809338271618"
Z2-BDB-4193,"28.463126577192313, 35.04153326153755"
Z2-BDB-5970,"28.571392, 35.035257"
Z2-BDB-1214,"28.459403, 35.01183"
Z2-BDB-2965,"28.472352, 35.033387"
Z2-BDB-1899,"28.464083, 35.04102"
Z2-BDB-0768,"28.459268, 35.037219"
Z2-BDB-1806,"28.468615, 35.033938"
Z2-BDB-5983,"28.459618, 35.022022"
Z2-BDB-1185,"28.463972, 34.997746"
Z2-BDB-1123,"28.472643, 35.002047"
Z2-BDB-3934,"28.467424229260313, 34.99967537820339"
Z2-BDB-0182,"28.467479345122438, 34.9996006116271"
Z2-BDB-0370,"28.47177, 34.995005"
Z2-BDB-4994,"28.466686, 35.019727"
Z2-BDB-2612,"28.468895, 35.029049"
Z2-BDB-2739,"28.459669995702004, 35.035443641245365"
Z2-BDB-0919,"28.466828563483084, 35.01864496618509"
Z2-BDB-2674,"28.467155, 35.0195983"
Z2-BDB-3943,"28.464579681221302, 35.02163965255022"
Z2-BDB-2680,"28.465714444307647, 35.01614581793547"
Z2-BDB-3929,"28.4657, 35.016142"
Z2-BDB-4540,"28.461591806475788, 35.02241883426905"
Z2-BDB-0574,"28.470674542295086, 35.00170178711414"
Z2-BDB-2880,"28.46498053398916, 35.03319326788187"
Z2-BDB-1130,"28.46485, 35.0250999"
Z2-BDB-1128,"28.452195, 35.0253966"
Z2-BDB-1113,"28.464410497317427, 35.02327311784029"
Z2-BDB-1129,"28.46655357166732, 35.026289597153664"
Z2-BDB-1898,"28.46623878916057, 35.02601735293865"
Z2-BDB-3401,"28.465934321667827, 35.02651557326317"
Z2-BDC-3930,"28.57099653402261, 35.03501884639263"
Z2-BDB-2221,"28.47028992124047, 35.027856677770615"
Z2-BDB-3505,"28.464686084199833, 35.0336579605937"
Z2-BDB-3504,"28.4619099, 35.0266883"
Z2-BDB-2656,"28.466288010831608, 35.02125106751919"
Z2-BDB-2569,"28.46694763795945, 35.02437148243189"
Z2-BDB-4949,"28.4429633, 35.0284966"
Z2-BDB-1835,"28.445830452763268, 35.02741511911154"
Z2-BDB-4951,"28.473141978315656, 35.03381185233593"
Z2-BDB-0708,"28.464204764609434, 35.041054487228394"
Z2-BDB-3712,"28.463954819462607, 35.041026659309864"
Z2-BDB-1716,"28.469846647422475, 35.0011982023716"
Z2-BDB-5959,"28.463659187824224, 35.03305580466986"
Z2-BDB-5895,"28.46785, 35.022093"
Z2-BDB-5879,"28.465355, 35.020732"
Z2-BDB-5882,"28.464426, 35.0232744589448"
Z2-BDB-5883,"28.459971, 35.023964"
Z2-BDB-5894,"28.46796, 35.022066"
Z2-BDB-5886,"28.469367414460653, 35.02807158976793"
Z2-BDB-5885,"28.45978848872677, 35.03209758549929"
Z2-BDB-5881,"28.46766443989286, 35.02150051295757"
Z2-BDB-5880,"28.467618755704176, 35.020954348146915"
Z2-BDB-5878,"28.46618337791064, 35.02132583409548"
Z2-BDB-5846,"28.469869046941934, 34.99662637710571"
Z2-BDB-5845,"28.467108, 35.019683"
Z2-BDB-5643,"28.4464066, 35.0272783"
Z2-BDB-5813,"28.463588743074517, 34.9980915337801"
Z2-BDB-5811,"28.472788901539104, 35.00129476189613"
Z2-BDB-5638,"28.44568, 35.02749"
Z2-BDB-5527,"28.46105, 35.034848"
Z2-BDB-0790,"28.464008, 35.01957"
Z2-BDB-2341,"28.4587, 35.02109"
Z2-BDB-1241,"28.4612, 35.0261"
Z2-BDB-1873,"28.4687, 35.0271"
Z2-BDB-1768,"28.4470316, 35.0270933"
Z2-BDB-0365,"28.4627, 35.0088"
Z2-BDB-0789,"28.4636266, 35.0196833"
Z2-BDB-1211,"28.456412269773626, 35.00207461416721"
Z2-BDB-1210,"28.455652944634608, 35.00237938016653"
