Task ID,Route Name,Vehicle ID,Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24041560,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:43:47 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0756,"1100L, 240L",1100L,1
360-24041550,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:43:01 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0755,"1100L, 240L",1100L,1
360-24042390,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:41:11 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0814,"1100L, 240L",1100L,1
360-24041698,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:39:37 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1803,"1100L, 240L",240L,1
360-24041345,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:38:54 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0454,"1100L, 240L",240L,1
360-24042443,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:36:58 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0820,"1100L, 240L",1100L,1
360-24042595,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:35:52 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1163,"1100L, 240L",240L,1
360-24041503,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:35:21 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2191,"1100L, 240L",240L,1
360-24041542,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:34:22 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0754,"1100L, 240L",240L,1
360-24042539,Zone 2 B (Day) - V 2.0,REL 1,6/1/2026,3:32:02 pm,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0948,"1100L, 240L",1100L,1
