Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24141522,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:23:27 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0990,"1100L, 240L",1100L,1
360-24141519,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:22:46 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0894,"1100L, 240L",1100L,1
360-24141778,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:21:13 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2569,"1100L, 240L",240L,1
360-24141395,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:19:52 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0984,"1100L, 240L",1100L,1
360-24141658,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:19:04 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0724,"1100L, 240L",1100L,1
360-24141664,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:17:55 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0726,"1100L, 240L",1100L,1
360-24141661,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:17:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0725,"1100L, 240L",1100L,1
360-24141667,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:16:48 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0727,"1100L, 240L",1100L,1
360-24141670,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:16:16 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0728,"1100L, 240L",1100L,1
360-24140871,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:15:41 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5882,"1100L, 240L",240L,1
360-24141506,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:15:38 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0888,"1100L, 240L",1100L,1
360-24141934,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:15:12 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1113,"1100L, 240L",240L,1
360-24141391,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:14:41 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0749,"1100L, 240L",1100L,1
360-24141387,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:13:47 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0983,"1100L, 240L",1100L,1
360-24141383,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:12:47 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0748,"1100L, 240L",1100L,1
360-24141379,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:12:16 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0747,"1100L, 240L",1100L,1
360-24141375,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:11:49 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0746,"1100L, 240L",1100L,1
360-24141371,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:10:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0982,"1100L, 240L",1100L,1
360-24141367,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:09:32 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0745,"1100L, 240L",1100L,1
360-24141363,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:08:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0744,"1100L, 240L",1100L,1
360-24140856,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:06:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5883,"1100L, 240L",240L,1
360-24141355,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:05:47 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0741,"1100L, 240L",1100L,1
360-24141339,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:03:59 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0974,"1100L, 240L",1100L,1
360-24141966,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,11:01:50 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4540,"1100L, 240L",240L,1
